/Users/radenyudi/.gemini/antigravity/scratch/quant_trade_ai/ai_environment.py:32: FutureWarning: DataFrame.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  self.df.fillna(method='bfill', inplace=True)
🚀 Starting AI Training (Reinforcement Learning)...
Episode: 129/200 | Reward: -1.40 | Net Worth: 100.06 | Epsilon: 0.05
Episode: 130/200 | Reward: 57.90 | Net Worth: 100.05 | Epsilon: 0.05
Episode: 131/200 | Reward: 90.01 | Net Worth: 100.19 | Epsilon: 0.05
Episode: 132/200 | Reward: 58.86 | Net Worth: 99.97 | Epsilon: 0.05
Episode: 133/200 | Reward: -63.75 | Net Worth: 99.67 | Epsilon: 0.05
Episode: 134/200 | Reward: 12.67 | Net Worth: 99.88 | Epsilon: 0.05
Episode: 135/200 | Reward: 27.91 | Net Worth: 99.98 | Epsilon: 0.05
Episode: 136/200 | Reward: 38.35 | Net Worth: 100.21 | Epsilon: 0.05
Episode: 137/200 | Reward: -72.64 | Net Worth: 99.35 | Epsilon: 0.05
Episode: 138/200 | Reward: 97.15 | Net Worth: 100.48 | Epsilon: 0.05
Episode: 139/200 | Reward: -62.88 | Net Worth: 99.43 | Epsilon: 0.05
Episode: 140/200 | Reward: 78.83 | Net Worth: 100.20 | Epsilon: 0.05
Episode: 141/200 | Reward: -7.77 | Net Worth: 100.17 | Epsilon: 0.05
Episode: 142/200 | Reward: -10.82 | Net Worth: 99.87 | Epsilon: 0.05
Episode: 143/200 | Reward: 46.25 | Net Worth: 100.13 | Epsilon: 0.05
Episode: 144/200 | Reward: -4.37 | Net Worth: 99.91 | Epsilon: 0.05
Episode: 145/200 | Reward: 7.35 | Net Worth: 100.02 | Epsilon: 0.05
Episode: 146/200 | Reward: 51.98 | Net Worth: 100.30 | Epsilon: 0.05
Episode: 147/200 | Reward: -37.99 | Net Worth: 99.56 | Epsilon: 0.05
Episode: 148/200 | Reward: 23.33 | Net Worth: 99.97 | Epsilon: 0.05
Episode: 149/200 | Reward: -35.92 | Net Worth: 99.75 | Epsilon: 0.05
Episode: 150/200 | Reward: -52.36 | Net Worth: 99.55 | Epsilon: 0.05
Episode: 151/200 | Reward: -27.11 | Net Worth: 99.62 | Epsilon: 0.05
Episode: 152/200 | Reward: 86.84 | Net Worth: 100.07 | Epsilon: 0.05
Episode: 153/200 | Reward: -102.85 | Net Worth: 99.28 | Epsilon: 0.05
Episode: 154/200 | Reward: 92.75 | Net Worth: 100.28 | Epsilon: 0.05
Episode: 155/200 | Reward: 43.45 | Net Worth: 99.95 | Epsilon: 0.05
Episode: 156/200 | Reward: -149.43 | Net Worth: 98.76 | Epsilon: 0.05
Episode: 157/200 | Reward: 87.34 | Net Worth: 100.02 | Epsilon: 0.05
Episode: 158/200 | Reward: 143.25 | Net Worth: 100.22 | Epsilon: 0.05
Episode: 159/200 | Reward: -18.03 | Net Worth: 99.62 | Epsilon: 0.05
Episode: 160/200 | Reward: 72.19 | Net Worth: 100.15 | Epsilon: 0.05
Episode: 161/200 | Reward: 72.20 | Net Worth: 100.18 | Epsilon: 0.05
Episode: 162/200 | Reward: -79.87 | Net Worth: 99.46 | Epsilon: 0.05
Episode: 163/200 | Reward: 52.82 | Net Worth: 100.15 | Epsilon: 0.05
Episode: 164/200 | Reward: 78.17 | Net Worth: 100.06 | Epsilon: 0.05
Episode: 165/200 | Reward: -21.24 | Net Worth: 99.58 | Epsilon: 0.05
Episode: 166/200 | Reward: -21.01 | Net Worth: 99.71 | Epsilon: 0.05
Episode: 167/200 | Reward: -195.26 | Net Worth: 98.99 | Epsilon: 0.05
Episode: 168/200 | Reward: -116.41 | Net Worth: 99.12 | Epsilon: 0.05
Episode: 169/200 | Reward: -9.63 | Net Worth: 99.61 | Epsilon: 0.05
Episode: 170/200 | Reward: 2.80 | Net Worth: 100.07 | Epsilon: 0.05
Episode: 171/200 | Reward: 66.41 | Net Worth: 99.89 | Epsilon: 0.05
Episode: 172/200 | Reward: 46.83 | Net Worth: 99.83 | Epsilon: 0.05
Episode: 173/200 | Reward: 58.29 | Net Worth: 99.91 | Epsilon: 0.05
Episode: 174/200 | Reward: -12.56 | Net Worth: 99.71 | Epsilon: 0.05
Episode: 175/200 | Reward: 4.74 | Net Worth: 99.61 | Epsilon: 0.05
Episode: 176/200 | Reward: -21.82 | Net Worth: 99.67 | Epsilon: 0.05
Episode: 177/200 | Reward: -17.62 | Net Worth: 99.62 | Epsilon: 0.05
Episode: 178/200 | Reward: -20.23 | Net Worth: 99.62 | Epsilon: 0.05
Episode: 179/200 | Reward: 28.90 | Net Worth: 99.94 | Epsilon: 0.05
Episode: 180/200 | Reward: 108.89 | Net Worth: 100.12 | Epsilon: 0.05
Episode: 181/200 | Reward: 62.38 | Net Worth: 99.96 | Epsilon: 0.05
Episode: 182/200 | Reward: 289.85 | Net Worth: 101.41 | Epsilon: 0.05
Episode: 183/200 | Reward: 29.29 | Net Worth: 100.08 | Epsilon: 0.05
Episode: 184/200 | Reward: 26.39 | Net Worth: 100.21 | Epsilon: 0.05
Episode: 185/200 | Reward: -20.25 | Net Worth: 99.99 | Epsilon: 0.05
Episode: 186/200 | Reward: 176.47 | Net Worth: 100.55 | Epsilon: 0.05
Episode: 187/200 | Reward: -105.39 | Net Worth: 99.55 | Epsilon: 0.05
Episode: 188/200 | Reward: 158.31 | Net Worth: 100.59 | Epsilon: 0.05
Episode: 189/200 | Reward: 166.38 | Net Worth: 100.72 | Epsilon: 0.05
Episode: 190/200 | Reward: -190.43 | Net Worth: 99.06 | Epsilon: 0.05
Episode: 191/200 | Reward: 185.35 | Net Worth: 100.69 | Epsilon: 0.05
Episode: 192/200 | Reward: 16.28 | Net Worth: 100.11 | Epsilon: 0.05
Episode: 193/200 | Reward: -36.52 | Net Worth: 99.85 | Epsilon: 0.05
Episode: 194/200 | Reward: -7.90 | Net Worth: 99.81 | Epsilon: 0.05
Episode: 195/200 | Reward: -160.54 | Net Worth: 99.36 | Epsilon: 0.05
Episode: 196/200 | Reward: -47.54 | Net Worth: 99.53 | Epsilon: 0.05
Episode: 197/200 | Reward: 53.89 | Net Worth: 100.24 | Epsilon: 0.05
Episode: 198/200 | Reward: 36.63 | Net Worth: 100.04 | Epsilon: 0.05
Episode: 199/200 | Reward: 44.13 | Net Worth: 100.18 | Epsilon: 0.05
Episode: 200/200 | Reward: 16.15 | Net Worth: 100.01 | Epsilon: 0.05
💾 AI Model Saved: trading_agent.pth
